,mpg,cylinders,displacement,weight,acceleration,model_year,origin,name,make
0,18.0,8,307.0,3504,12.0,70,usa,chevrolet chevelle malibu,chevrolet
1,15.0,8,350.0,3693,11.5,70,usa,buick skylark 320,buick
2,18.0,8,318.0,3436,11.0,70,usa,plymouth satellite,plymouth
3,16.0,8,304.0,3433,12.0,70,usa,amc rebel sst,amc
4,17.0,8,302.0,3449,10.5,70,usa,ford torino,ford
5,15.0,8,429.0,4341,10.0,70,usa,ford galaxie 500,ford
6,14.0,8,454.0,4354,9.0,70,usa,chevrolet impala,chevrolet
7,14.0,8,440.0,4312,8.5,70,usa,plymouth fury iii,plymouth
8,14.0,8,455.0,4425,10.0,70,usa,pontiac catalina,pontiac
9,15.0,8,390.0,3850,8.5,70,usa,amc ambassador dpl,amc
10,15.0,8,383.0,3563,10.0,70,usa,dodge challenger se,dodge
11,14.0,8,340.0,3609,8.0,70,usa,plymouth 'cuda 340,plymouth
12,15.0,8,400.0,3761,9.5,70,usa,chevrolet monte carlo,chevrolet
13,14.0,8,455.0,3086,10.0,70,usa,buick estate wagon (sw),buick
14,24.0,4,113.0,2372,15.0,70,japan,toyota corona mark ii,toyota
15,22.0,6,198.0,2833,15.5,70,usa,plymouth duster,plymouth
16,18.0,6,199.0,2774,15.5,70,usa,amc hornet,amc
17,21.0,6,200.0,2587,16.0,70,usa,ford maverick,ford
18,27.0,4,97.0,2130,14.5,70,japan,datsun pl510,datsun
19,26.0,4,97.0,1835,20.5,70,europe,volkswagen 1131 deluxe sedan,volkswagen
20,25.0,4,110.0,2672,17.5,70,europe,peugeot 504,peugeot
24,21.0,6,199.0,2648,15.0,70,usa,amc gremlin,amc
25,10.0,8,360.0,4615,14.0,70,usa,ford f250,ford
27,11.0,8,318.0,4382,13.5,70,usa,dodge d200,dodge
29,27.0,4,97.0,2130,14.5,71,japan,datsun pl510,datsun
30,28.0,4,140.0,2264,15.5,71,usa,chevrolet vega 2300,chevrolet
31,25.0,4,113.0,2228,14.0,71,japan,toyota corona,toyota
32,25.0,4,98.0,2046,19.0,71,usa,ford pinto,ford
33,19.0,6,232.0,2634,13.0,71,usa,amc gremlin,amc
34,16.0,6,225.0,3439,15.5,71,usa,plymouth satellite custom,plymouth
35,17.0,6,250.0,3329,15.5,71,usa,chevrolet chevelle malibu,chevrolet
36,19.0,6,250.0,3302,15.5,71,usa,ford torino 500,ford
37,18.0,6,232.0,3288,15.5,71,usa,amc matador,amc
38,14.0,8,350.0,4209,12.0,71,usa,chevrolet impala,chevrolet
39,14.0,8,400.0,4464,11.5,71,usa,pontiac catalina brougham,pontiac
40,14.0,8,351.0,4154,13.5,71,usa,ford galaxie 500,ford
41,14.0,8,318.0,4096,13.0,71,usa,plymouth fury iii,plymouth
42,12.0,8,383.0,4955,11.5,71,usa,dodge monaco (sw),dodge
43,13.0,8,400.0,4746,12.0,71,usa,ford country squire (sw),ford
44,13.0,8,400.0,5140,12.0,71,usa,pontiac safari (sw),pontiac
45,18.0,6,258.0,2962,13.5,71,usa,amc hornet sportabout (sw),amc
46,22.0,4,140.0,2408,19.0,71,usa,chevrolet vega (sw),chevrolet
47,19.0,6,250.0,3282,15.0,71,usa,pontiac firebird,pontiac
48,18.0,6,250.0,3139,14.5,71,usa,ford mustang,ford
49,23.0,4,122.0,2220,14.0,71,usa,mercury capri 2000,mercury
51,30.0,4,79.0,2074,19.5,71,europe,peugeot 304,peugeot
53,31.0,4,71.0,1773,19.0,71,japan,toyota corolla 1200,toyota
54,35.0,4,72.0,1613,18.0,71,japan,datsun 1200,datsun
55,27.0,4,97.0,1834,19.0,71,europe,volkswagen model 111,volkswagen
56,26.0,4,91.0,1955,20.5,71,usa,plymouth cricket,plymouth
57,24.0,4,113.0,2278,15.5,72,japan,toyota corona hardtop,toyota
58,25.0,4,97.5,2126,17.0,72,usa,dodge colt hardtop,dodge
59,23.0,4,97.0,2254,23.5,72,europe,volkswagen type 3,volkswagen
60,20.0,4,140.0,2408,19.5,72,usa,chevrolet vega,chevrolet
61,21.0,4,122.0,2226,16.5,72,usa,ford pinto runabout,ford
62,13.0,8,350.0,4274,12.0,72,usa,chevrolet impala,chevrolet
63,14.0,8,400.0,4385,12.0,72,usa,pontiac catalina,pontiac
64,15.0,8,318.0,4135,13.5,72,usa,plymouth fury iii,plymouth
65,14.0,8,351.0,4129,13.0,72,usa,ford galaxie 500,ford
66,17.0,8,304.0,3672,11.5,72,usa,amc ambassador sst,amc
67,11.0,8,429.0,4633,11.0,72,usa,mercury marquis,mercury
68,13.0,8,350.0,4502,13.5,72,usa,buick lesabre custom,buick
69,12.0,8,350.0,4456,13.5,72,usa,oldsmobile delta 88 royale,oldsmobile
71,19.0,3,70.0,2330,13.5,72,japan,mazda rx2 coupe,mazda
72,15.0,8,304.0,3892,12.5,72,usa,amc matador (sw),amc
73,13.0,8,307.0,4098,14.0,72,usa,chevrolet chevelle concours (sw),chevrolet
74,13.0,8,302.0,4294,16.0,72,usa,ford gran torino (sw),ford
75,14.0,8,318.0,4077,14.0,72,usa,plymouth satellite custom (sw),plymouth
77,22.0,4,121.0,2511,18.0,72,europe,volkswagen 411 (sw),volkswagen
78,21.0,4,120.0,2979,19.5,72,europe,peugeot 504 (sw),peugeot
80,22.0,4,122.0,2395,16.0,72,usa,ford pinto (sw),ford
81,28.0,4,97.0,2288,17.0,72,japan,datsun 510 (sw),datsun
83,28.0,4,98.0,2164,15.0,72,usa,dodge colt (sw),dodge
84,27.0,4,97.0,2100,16.5,72,japan,toyota corolla 1600 (sw),toyota
85,13.0,8,350.0,4100,13.0,73,usa,buick century 350,buick
86,14.0,8,304.0,3672,11.5,73,usa,amc matador,amc
87,13.0,8,350.0,3988,13.0,73,usa,chevrolet malibu,chevrolet
88,14.0,8,302.0,4042,14.5,73,usa,ford gran torino,ford
89,15.0,8,318.0,3777,12.5,73,usa,dodge coronet custom,dodge
90,12.0,8,429.0,4952,11.5,73,usa,mercury marquis brougham,mercury
91,13.0,8,400.0,4464,12.0,73,usa,chevrolet caprice classic,chevrolet
92,13.0,8,351.0,4363,13.0,73,usa,ford ltd,ford
93,14.0,8,318.0,4237,14.5,73,usa,plymouth fury gran sedan,plymouth
95,12.0,8,455.0,4951,11.0,73,usa,buick electra 225 custom,buick
96,13.0,8,360.0,3821,11.0,73,usa,amc ambassador brougham,amc
97,18.0,6,225.0,3121,16.5,73,usa,plymouth valiant,plymouth
98,16.0,6,250.0,3278,18.0,73,usa,chevrolet nova custom,chevrolet
99,18.0,6,232.0,2945,16.0,73,usa,amc hornet,amc
100,18.0,6,250.0,3021,16.5,73,usa,ford maverick,ford
101,23.0,6,198.0,2904,16.0,73,usa,plymouth duster,plymouth
102,26.0,4,97.0,1950,21.0,73,europe,volkswagen super beetle,volkswagen
103,11.0,8,400.0,4997,14.0,73,usa,chevrolet impala,chevrolet
104,12.0,8,400.0,4906,12.5,73,usa,ford country,ford
105,13.0,8,360.0,4654,13.0,73,usa,plymouth custom suburb,plymouth
106,12.0,8,350.0,4499,12.5,73,usa,oldsmobile vista cruiser,oldsmobile
107,18.0,6,232.0,2789,15.0,73,usa,amc gremlin,amc
108,20.0,4,97.0,2279,19.0,73,japan,toyota carina,toyota
109,21.0,4,140.0,2401,19.5,73,usa,chevrolet vega,chevrolet
110,22.0,4,108.0,2379,16.5,73,japan,datsun 610,datsun
112,19.0,4,122.0,2310,18.5,73,usa,ford pinto,ford
113,21.0,6,155.0,2472,14.0,73,usa,mercury capri v6,mercury
115,15.0,8,350.0,4082,13.0,73,usa,chevrolet monte carlo s,chevrolet
116,16.0,8,400.0,4278,9.5,73,usa,pontiac grand prix,pontiac
121,15.0,8,318.0,3399,11.0,73,usa,dodge dart custom,dodge
123,20.0,6,156.0,2807,13.5,73,japan,toyota mark ii,toyota
124,11.0,8,350.0,3664,11.0,73,usa,oldsmobile omega,oldsmobile
125,20.0,6,198.0,3102,16.5,74,usa,plymouth duster,plymouth
126,21.0,6,200.0,2875,17.0,74,usa,ford maverick,ford
127,19.0,6,232.0,2901,16.0,74,usa,amc hornet,amc
128,15.0,6,250.0,3336,17.0,74,usa,chevrolet nova,chevrolet
129,31.0,4,79.0,1950,19.0,74,japan,datsun b210,datsun
130,26.0,4,122.0,2451,16.5,74,usa,ford pinto,ford
131,32.0,4,71.0,1836,21.0,74,japan,toyota corolla 1200,toyota
132,25.0,4,140.0,2542,17.0,74,usa,chevrolet vega,chevrolet
133,16.0,6,250.0,3781,17.0,74,usa,chevrolet chevelle malibu classic,chevrolet
134,16.0,6,258.0,3632,18.0,74,usa,amc matador,amc
135,18.0,6,225.0,3613,16.5,74,usa,plymouth satellite sebring,plymouth
136,16.0,8,302.0,4141,14.0,74,usa,ford gran torino,ford
137,13.0,8,350.0,4699,14.5,74,usa,buick century luxus (sw),buick
138,14.0,8,318.0,4457,13.5,74,usa,dodge coronet custom (sw),dodge
139,14.0,8,302.0,4638,16.0,74,usa,ford gran torino (sw),ford
140,14.0,8,304.0,4257,15.5,74,usa,amc matador (sw),amc
142,26.0,4,79.0,1963,15.5,74,europe,volkswagen dasher,volkswagen
144,31.0,4,76.0,1649,16.5,74,japan,toyota corona,toyota
145,32.0,4,83.0,2003,19.0,74,japan,datsun 710,datsun
146,28.0,4,90.0,2125,14.5,74,usa,dodge colt,dodge
149,24.0,4,120.0,2489,15.0,74,japan,honda civic,honda
152,19.0,6,225.0,3264,16.0,75,usa,plymouth valiant custom,plymouth
153,18.0,6,250.0,3459,16.0,75,usa,chevrolet nova,chevrolet
154,15.0,6,250.0,3432,21.0,75,usa,mercury monarch,mercury
155,15.0,6,250.0,3158,19.5,75,usa,ford maverick,ford
156,16.0,8,400.0,4668,11.5,75,usa,pontiac catalina,pontiac
157,15.0,8,350.0,4440,14.0,75,usa,chevrolet bel air,chevrolet
158,16.0,8,318.0,4498,14.5,75,usa,plymouth grand fury,plymouth
159,14.0,8,351.0,4657,13.5,75,usa,ford ltd,ford
160,17.0,6,231.0,3907,21.0,75,usa,buick century,buick
162,15.0,6,258.0,3730,19.0,75,usa,amc matador,amc
163,18.0,6,225.0,3785,19.0,75,usa,plymouth fury,plymouth
164,21.0,6,231.0,3039,15.0,75,usa,buick skyhawk,buick
165,20.0,8,262.0,3221,13.5,75,usa,chevrolet monza 2+2,chevrolet
166,13.0,8,302.0,3169,12.0,75,usa,ford mustang ii,ford
167,29.0,4,97.0,2171,16.0,75,japan,toyota corolla,toyota
168,23.0,4,140.0,2639,17.0,75,usa,ford pinto,ford
169,20.0,6,232.0,2914,16.0,75,usa,amc gremlin,amc
170,23.0,4,140.0,2592,18.5,75,usa,pontiac astro,pontiac
171,24.0,4,134.0,2702,13.5,75,japan,toyota corona,toyota
172,25.0,4,90.0,2223,16.5,75,europe,volkswagen dasher,volkswagen
173,24.0,4,119.0,2545,17.0,75,japan,datsun 710,datsun
174,18.0,6,171.0,2984,14.5,75,usa,ford pinto,ford
175,29.0,4,90.0,1937,14.0,75,europe,volkswagen rabbit,volkswagen
176,19.0,6,232.0,3211,17.0,75,usa,amc pacer,amc
178,23.0,4,120.0,2957,17.0,75,europe,peugeot 504,peugeot
181,33.0,4,91.0,1795,17.5,75,japan,honda civic cvcc,honda
185,26.0,4,98.0,2255,17.7,76,usa,dodge colt,dodge
187,17.5,8,305.0,4215,13.0,76,usa,chevrolet chevelle malibu classic,chevrolet
188,16.0,8,318.0,4190,13.0,76,usa,dodge coronet brougham,dodge
189,15.5,8,304.0,3962,13.9,76,usa,amc matador,amc
190,14.5,8,351.0,4215,12.8,76,usa,ford gran torino,ford
191,22.0,6,225.0,3233,15.4,76,usa,plymouth valiant,plymouth
192,22.0,6,250.0,3353,14.5,76,usa,chevrolet nova,chevrolet
193,24.0,6,200.0,3012,17.6,76,usa,ford maverick,ford
194,22.5,6,232.0,3085,17.6,76,usa,amc hornet,amc
195,29.0,4,85.0,2035,22.2,76,usa,chevrolet chevette,chevrolet
196,24.5,4,98.0,2164,22.1,76,usa,chevrolet woody,chevrolet
198,33.0,4,91.0,1795,17.4,76,japan,honda civic,honda
199,20.0,6,225.0,3651,17.7,76,usa,dodge aspen se,dodge
200,18.0,6,250.0,3574,21.0,76,usa,ford granada ghia,ford
201,18.5,6,250.0,3645,16.2,76,usa,pontiac ventura sj,pontiac
202,17.5,6,258.0,3193,17.8,76,usa,amc pacer d/l,amc
203,29.5,4,97.0,1825,12.2,76,europe,volkswagen rabbit,volkswagen
204,32.0,4,85.0,1990,17.0,76,japan,datsun b-210,datsun
205,28.0,4,97.0,2155,16.4,76,japan,toyota corolla,toyota
206,26.5,4,140.0,2565,13.6,76,usa,ford pinto,ford
208,13.0,8,318.0,3940,13.2,76,usa,plymouth volare premier v8,plymouth
209,19.0,4,120.0,3270,21.9,76,europe,peugeot 504,peugeot
210,19.0,6,156.0,2930,15.5,76,japan,toyota mark ii,toyota
214,13.0,8,302.0,3870,15.0,76,usa,ford f108,ford
215,13.0,8,318.0,3755,14.0,76,usa,dodge d100,dodge
216,31.5,4,98.0,2045,18.5,77,japan,honda accord cvcc,honda
217,30.0,4,111.0,2155,14.8,77,usa,buick opel isuzu deluxe,buick
219,25.5,4,122.0,2300,15.5,77,usa,plymouth arrow gs,plymouth
220,33.5,4,85.0,1945,16.8,77,japan,datsun f-10 hatchback,datsun
221,17.5,8,305.0,3880,12.5,77,usa,chevrolet caprice classic,chevrolet
222,17.0,8,260.0,4060,19.0,77,usa,oldsmobile cutlass supreme,oldsmobile
223,15.5,8,318.0,4140,13.7,77,usa,dodge monaco brougham,dodge
224,15.0,8,302.0,4295,14.9,77,usa,mercury cougar brougham,mercury
225,17.5,6,250.0,3520,16.4,77,usa,chevrolet concours,chevrolet
226,20.5,6,231.0,3425,16.9,77,usa,buick skylark,buick
227,19.0,6,225.0,3630,17.7,77,usa,plymouth volare custom,plymouth
228,18.5,6,250.0,3525,19.0,77,usa,ford granada,ford
229,16.0,8,400.0,4220,11.1,77,usa,pontiac grand prix lj,pontiac
230,15.5,8,350.0,4165,11.4,77,usa,chevrolet monte carlo landau,chevrolet
232,16.0,8,351.0,4335,14.5,77,usa,ford thunderbird,ford
233,29.0,4,97.0,1940,14.5,77,europe,volkswagen rabbit custom,volkswagen
234,24.5,4,151.0,2740,16.0,77,usa,pontiac sunbird coupe,pontiac
235,26.0,4,97.0,2265,18.2,77,japan,toyota corolla liftback,toyota
236,25.5,4,140.0,2755,15.8,77,usa,ford mustang ii 2+2,ford
237,30.5,4,98.0,2051,17.0,77,usa,chevrolet chevette,chevrolet
238,33.5,4,98.0,2075,15.9,77,usa,dodge colt m/m,dodge
240,30.5,4,97.0,2190,14.1,77,europe,volkswagen dasher,volkswagen
241,22.0,6,146.0,2815,14.5,77,japan,datsun 810,datsun
243,21.5,3,80.0,2720,13.5,77,japan,mazda rx-4,mazda
244,43.1,4,90.0,1985,21.5,78,europe,volkswagen rabbit custom diesel,volkswagen
245,36.1,4,98.0,1800,14.4,78,usa,ford fiesta,ford
246,32.8,4,78.0,1985,19.4,78,japan,mazda glc deluxe,mazda
247,39.4,4,85.0,2070,18.6,78,japan,datsun b210 gx,datsun
248,36.1,4,91.0,1800,16.4,78,japan,honda civic cvcc,honda
249,19.9,8,260.0,3365,15.5,78,usa,oldsmobile cutlass salon brougham,oldsmobile
250,19.4,8,318.0,3735,13.2,78,usa,dodge diplomat,dodge
251,20.2,8,302.0,3570,12.8,78,usa,mercury monarch ghia,mercury
252,19.2,6,231.0,3535,19.2,78,usa,pontiac phoenix lj,pontiac
253,20.5,6,200.0,3155,18.2,78,usa,chevrolet malibu,chevrolet
254,20.2,6,200.0,2965,15.8,78,usa,ford fairmont (auto),ford
255,25.1,4,140.0,2720,15.4,78,usa,ford fairmont (man),ford
256,20.5,6,225.0,3430,17.2,78,usa,plymouth volare,plymouth
257,19.4,6,232.0,3210,17.2,78,usa,amc concord,amc
258,20.6,6,231.0,3380,15.8,78,usa,buick century special,buick
259,20.8,6,200.0,3070,16.7,78,usa,mercury zephyr,mercury
260,18.6,6,225.0,3620,18.7,78,usa,dodge aspen,dodge
261,18.1,6,258.0,3410,15.1,78,usa,amc concord d/l,amc
262,19.2,8,305.0,3425,13.2,78,usa,chevrolet monte carlo landau,chevrolet
263,17.7,6,231.0,3445,13.4,78,usa,buick regal sport coupe (turbo),buick
264,18.1,8,302.0,3205,11.2,78,usa,ford futura,ford
265,17.5,8,318.0,4080,13.7,78,usa,dodge magnum xe,dodge
266,30.0,4,98.0,2155,16.5,78,usa,chevrolet chevette,chevrolet
267,27.5,4,134.0,2560,14.2,78,japan,toyota corona,toyota
268,27.2,4,119.0,2300,14.7,78,japan,datsun 510,datsun
269,30.9,4,105.0,2230,14.5,78,usa,dodge omni,dodge
270,21.1,4,134.0,2515,14.8,78,japan,toyota celica gt liftback,toyota
271,23.2,4,156.0,2745,16.7,78,usa,plymouth sapporo,plymouth
272,23.8,4,151.0,2855,17.6,78,usa,oldsmobile starfire sx,oldsmobile
273,23.9,4,119.0,2405,14.9,78,japan,datsun 200-sx,datsun
277,16.2,6,163.0,3410,15.8,78,europe,peugeot 604sl,peugeot
278,31.5,4,89.0,1990,14.9,78,europe,volkswagen scirocco,volkswagen
279,29.5,4,98.0,2135,16.6,78,japan,honda accord lx,honda
280,21.5,6,231.0,3245,15.4,79,usa,pontiac lemans v6,pontiac
281,19.8,6,200.0,2990,18.2,79,usa,mercury zephyr 6,mercury
282,22.3,4,140.0,2890,17.3,79,usa,ford fairmont 4,ford
283,20.2,6,232.0,3265,18.2,79,usa,amc concord dl 6,amc
284,20.6,6,225.0,3360,16.6,79,usa,dodge aspen 6,dodge
285,17.0,8,305.0,3840,15.4,79,usa,chevrolet caprice classic,chevrolet
286,17.6,8,302.0,3725,13.4,79,usa,ford ltd landau,ford
287,16.5,8,351.0,3955,13.2,79,usa,mercury grand marquis,mercury
288,18.2,8,318.0,3830,15.2,79,usa,dodge st. regis,dodge
289,16.9,8,350.0,4360,14.9,79,usa,buick estate wagon (sw),buick
290,15.5,8,351.0,4054,14.3,79,usa,ford country squire (sw),ford
291,19.2,8,267.0,3605,15.0,79,usa,chevrolet malibu classic (sw),chevrolet
295,35.7,4,98.0,1915,14.4,79,usa,dodge colt hatchback custom,dodge
296,27.4,4,121.0,2670,15.0,79,usa,amc spirit dl,amc
299,27.2,4,141.0,3190,24.8,79,europe,peugeot 504,peugeot
300,23.9,8,260.0,3420,22.2,79,usa,oldsmobile cutlass salon brougham,oldsmobile
301,34.2,4,105.0,2200,13.2,79,usa,plymouth horizon,plymouth
302,34.5,4,105.0,2150,14.9,79,usa,plymouth horizon tc3,plymouth
303,31.8,4,85.0,2020,19.2,79,japan,datsun 210,datsun
305,28.4,4,151.0,2670,16.0,79,usa,buick skylark limited,buick
306,28.8,6,173.0,2595,11.3,79,usa,chevrolet citation,chevrolet
307,26.8,6,173.0,2700,12.9,79,usa,oldsmobile omega brougham,oldsmobile
308,33.5,4,151.0,2556,13.2,79,usa,pontiac phoenix,pontiac
310,38.1,4,89.0,1968,18.8,80,japan,toyota corolla tercel,toyota
311,32.1,4,98.0,2120,15.5,80,usa,chevrolet chevette,chevrolet
312,37.2,4,86.0,2019,16.4,80,japan,datsun 310,datsun
313,28.0,4,151.0,2678,16.5,80,usa,chevrolet citation,chevrolet
314,26.4,4,140.0,2870,18.1,80,usa,ford fairmont,ford
315,24.3,4,151.0,3003,20.1,80,usa,amc concord,amc
316,19.1,6,225.0,3381,18.7,80,usa,dodge aspen,dodge
318,29.8,4,134.0,2711,15.5,80,japan,toyota corona liftback,toyota
319,31.3,4,120.0,2542,17.5,80,japan,mazda 626,mazda
320,37.0,4,119.0,2434,15.0,80,japan,datsun 510 hatchback,datsun
321,32.2,4,108.0,2265,15.2,80,japan,toyota corolla,toyota
322,46.6,4,86.0,2110,17.9,80,japan,mazda glc,mazda
323,27.9,4,156.0,2800,14.4,80,usa,dodge colt,dodge
324,40.8,4,85.0,2110,19.2,80,japan,datsun 210,datsun
329,44.6,4,91.0,1850,13.8,80,japan,honda civic 1500 gl,honda
333,32.7,6,168.0,2910,11.4,80,japan,datsun 280-zx,datsun
334,23.7,3,70.0,2420,12.5,80,japan,mazda rx-7 gs,mazda
336,23.6,4,140.0,2905,14.3,80,usa,ford mustang cobra,ford
337,32.4,4,107.0,2290,17.0,80,japan,honda accord,honda
338,27.2,4,135.0,2490,15.7,81,usa,plymouth reliant,plymouth
339,26.6,4,151.0,2635,16.4,81,usa,buick skylark,buick
340,25.8,4,156.0,2620,14.4,81,usa,dodge aries wagon (sw),dodge
341,23.5,6,173.0,2725,12.6,81,usa,chevrolet citation,chevrolet
342,30.0,4,135.0,2385,12.9,81,usa,plymouth reliant,plymouth
343,39.1,4,79.0,1755,16.9,81,japan,toyota starlet,toyota
344,39.0,4,86.0,1875,16.4,81,usa,plymouth champ,plymouth
345,35.1,4,81.0,1760,16.1,81,japan,honda civic 1300,honda
347,37.0,4,85.0,1975,19.4,81,japan,datsun 210 mpg,datsun
348,37.7,4,89.0,2050,17.3,81,japan,toyota tercel,toyota
349,34.1,4,91.0,1985,16.0,81,japan,mazda glc 4,mazda
350,34.7,4,105.0,2215,14.9,81,usa,plymouth horizon 4,plymouth
351,34.4,4,98.0,2045,16.2,81,usa,ford escort 4w,ford
352,29.9,4,98.0,2380,20.7,81,usa,ford escort 2h,ford
353,33.0,4,105.0,2190,14.2,81,europe,volkswagen jetta,volkswagen
355,33.7,4,107.0,2210,14.4,81,japan,honda prelude,honda
356,32.4,4,108.0,2350,16.8,81,japan,toyota corolla,toyota
357,32.9,4,119.0,2615,14.8,81,japan,datsun 200sx,datsun
358,31.6,4,120.0,2635,18.3,81,japan,mazda 626,mazda
359,28.1,4,141.0,3230,20.4,81,europe,peugeot 505s turbo diesel,peugeot
361,25.4,6,168.0,2900,12.6,81,japan,toyota cressida,toyota
362,24.2,6,146.0,2930,13.8,81,japan,datsun 810 maxima,datsun
363,22.4,6,231.0,3415,15.8,81,usa,buick century,buick
364,26.6,8,350.0,3725,19.0,81,usa,oldsmobile cutlass ls,oldsmobile
365,20.2,6,200.0,3060,17.1,81,usa,ford granada gl,ford
367,28.0,4,112.0,2605,19.6,82,usa,chevrolet cavalier,chevrolet
368,27.0,4,112.0,2640,18.6,82,usa,chevrolet cavalier wagon,chevrolet
369,34.0,4,112.0,2395,18.0,82,usa,chevrolet cavalier 2-door,chevrolet
370,31.0,4,112.0,2575,16.2,82,usa,pontiac j2000 se hatchback,pontiac
371,29.0,4,135.0,2525,16.0,82,usa,dodge aries se,dodge
372,27.0,4,151.0,2735,18.0,82,usa,pontiac phoenix,pontiac
373,24.0,4,140.0,2865,16.4,82,usa,ford fairmont futura,ford
374,23.0,4,151.0,3035,20.5,82,usa,amc concord dl,amc
375,36.0,4,105.0,1980,15.3,82,europe,volkswagen rabbit l,volkswagen
376,37.0,4,91.0,2025,18.2,82,japan,mazda glc custom l,mazda
377,31.0,4,91.0,1970,17.6,82,japan,mazda glc custom,mazda
378,38.0,4,105.0,2125,14.7,82,usa,plymouth horizon miser,plymouth
379,36.0,4,98.0,2125,17.3,82,usa,mercury lynx l,mercury
381,36.0,4,107.0,2205,14.5,82,japan,honda accord,honda
382,34.0,4,108.0,2245,16.9,82,japan,toyota corolla,toyota
383,38.0,4,91.0,1965,15.0,82,japan,honda civic,honda
384,32.0,4,91.0,1965,15.7,82,japan,honda civic (auto),honda
385,38.0,4,91.0,1995,16.2,82,japan,datsun 310 gx,datsun
386,25.0,6,181.0,2945,16.4,82,usa,buick century limited,buick
387,38.0,6,262.0,3015,17.0,82,usa,oldsmobile cutlass ciera (diesel),oldsmobile
389,22.0,6,232.0,2835,14.7,82,usa,ford granada l,ford
390,32.0,4,144.0,2665,13.9,82,japan,toyota celica gt,toyota
391,36.0,4,135.0,2370,13.0,82,usa,dodge charger 2.2,dodge
392,27.0,4,151.0,2950,17.3,82,usa,chevrolet camaro,chevrolet
393,27.0,4,140.0,2790,15.6,82,usa,ford mustang gl,ford
395,32.0,4,135.0,2295,11.6,82,usa,dodge rampage,dodge
396,28.0,4,120.0,2625,18.6,82,usa,ford ranger,ford
